"Genes","BxPC3_B1","PanC1_A1","BxPC3_B2","PanC1_D1","PanC1_B2","PanC1_C2","BxPC3_C2","BxPC3_A2","BxPC3_A1","PanC1_D2","PanC1_B1","PanC1_C1","PanC1_A2","BxPC3_D1","BxPC3_D2","BxPC3_C1"
"ITSN1",13.9314054168836,12.4212035363124,13.8728106624876,13.2088489315404,14.0643196561706,14.3525007884629,14.1759213814924,13.2662109790258,11.4555727261068,14.5077013398879,13.6966555711436,13.7013352105166,13.8422161404395,12.509630918476,13.2036291383067,11.8755014166201
"CAPN1",18.3608309877985,17.3341042962032,18.4628031270044,17.9549771133697,18.2909060153388,16.8496762590267,18.3687680841126,18.5640305177775,19.2856333011679,18.0009579345674,17.2842071214727,18.574601962544,18.4425044491134,17.9041917636738,16.5738052201122,18.418195973365
"EIF5",16.9790995768905,17.8468427766507,17.5147718434575,17.4181262098208,17.4011434234936,17.2610697063894,16.5229395151826,16.3341122609129,17.6953632861332,17.5402114017199,17.5602213145714,17.3945741443568,17.3937107353905,17.9216970391772,17.9874012443441,17.4498937887534
"DPAGT1",13.7674671120385,16.3715519413841,12.5699654824016,16.2112039123502,15.4881477047715,13.9491632971366,15.9101737359183,13.9595585231921,11.4552086640575,16.0202858387463,15.1829348187926,15.2289392544496,16.16938066823,15.7432111279481,14.2100525842179,12.2576845740135
"SART3",15.5966375753624,16.0278412950512,13.0672593604133,15.2205352931917,15.6427690052031,15.9545580707973,15.3397353064755,14.1677516261899,15.1344079652926,16.4666190866642,16.0447468458719,15.3509992462022,15.7196347610374,14.5601278261004,14.4134596117178,14.7780255130165
"SPDL1",12.5996496852027,17.8223993318392,11.4900061022049,17.4657867575273,17.2617060552693,13.6790877300913,12.070606084024,13.1172732220382,13.4676823662331,17.5396716406545,15.5620465469893,14.1033210678855,14.5062224696875,11.7758930413199,10.984886039626,13.2157833008768
"PMPCA",16.4566033318713,14.5388275564022,16.1433069092932,15.062937469029,15.7276763390503,14.8486271529365,16.175038688023,15.33454477157,15.8951558759494,14.7632279011411,15.0789862375831,14.5588785257287,15.1257582772869,15.8817929686506,16.0581549731538,15.9169870640045
"EIF2S1",18.7258358991732,18.609004172252,18.2107291979071,18.5686016442776,18.3176174458173,18.3987204344109,18.5190057208167,18.1626524532617,18.6040137292457,18.6605221460132,18.3715186026374,17.6959658745266,17.8089971671562,18.3882136637144,18.2073820845917,17.9999850431985
"FERMT2",14.8043340869286,15.2584827613173,13.9501730905291,15.6429685808311,15.3721852625095,14.9498917078596,13.970094420757,14.4924431061075,14.2593335586829,15.8032663413982,15.4682473752336,14.6349633637801,14.9982550670185,13.3240356711433,14.2076203460678,14.6209611635856
"CTBP2",15.0129893138007,15.3829465825542,15.9933997335084,15.3303885466959,15.4388359416341,14.8838532451774,13.6822407650189,14.446688165212,14.597788235161,15.5076628040132,15.7038469213614,15.6436151110653,15.7071467240025,14.9820826987935,16.0074394296756,16.5982659069316
"NLN",14.9669626020108,15.3546230717736,14.8405246765489,15.2162644425223,14.7843739976665,15.4760979936283,14.4760287387328,14.6126948573548,11.9841479327881,14.9492081668701,15.2109486494893,14.9983472983149,15.495286263522,14.7859515137481,15.0238679590205,14.5798951053042
"AP1M1",15.3441871083371,15.9728209191301,15.0299865552208,15.8781016207026,16.4536954389427,16.1747841719266,14.8294417643502,15.1055145164817,14.9332216827252,15.855106397481,15.716936550696,15.7101708791915,15.8712779795034,14.9124735926128,15.0351053836015,14.7681153004099
"AP3B1",15.6872657308027,15.9732396067419,16.2331342942664,16.318381632253,15.4670855382314,15.9947313121295,15.7130328144256,16.0949656996902,16.3936100257951,15.3946476883767,15.8139429081056,15.5080372158887,15.6136590775721,16.075937744139,15.3199693119889,16.2229685759107
"MACF1",14.5313096229428,16.2450847882504,15.0619338620018,15.9553003161868,16.5881570490414,16.031164187397,15.1871030887891,15.0519416324164,16.295804771035,17.3225238697786,17.1071375916362,16.7887205501659,17.0971904924521,15.2731908129028,14.8310364584537,15.5338136270483
"TBL1XR1",16.0818571643954,16.145552396767,16.5149927802841,14.6796711056942,13.3455544404471,15.7170312087828,14.7960520247137,17.0201595765202,16.6115999767027,14.5789567427747,13.715932341264,16.162029671665,16.3084685980433,15.6293782757338,15.041463270379,14.7858676269443
